respondent_id,bumo,region,gender,age_band,income_band,household_size,wash_freq_per_day,skin_type,benefits_sought,is_aware,awareness_channel,is_trialist,familiarity,is_repeater,trial_barriers,trial_drivers,concept_relevance,concept_purchase_intent,value_perception,price_index_vs_others,benefit_perception_pre,rating_suitable_for_daily_use,rating_rinses_off_cleanly,rating_controls_oil_throughout_the_,rating_deep_cleansing_feel,rating_refreshing_feel_during_wash,rating_gentle__non-irritating_on_s,rating_easy_to_lather,rating_attractive_packaging,rating_pleasant_scent,rating_leaves_skin_feeling_soft,rating_skin_looks_brighter_after_wa,rating_reduces_appearance_of_dark_s,rating_skin_feels_hydrated_not_tig,rating_long-lasting_matte_finish,rating_suitable_for_sensitive_skin,rating_visibly_improved_skin_textur,overall_product_rating,product_superiority,repeat_intent,recommend_intent,benefit_perception_post,suggested_improvements,purchase_channel,pack_size_bought,time_since_last_purchase,time_since_last_use
R1000,Functional / Anti-acne,Visayas,Female,25–35,"PHP 18,001–25,000",2,2,Normal,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,True,Drugstore display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat irrelevant,Might or might not,Somewhat poor value,A little lower,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1001,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 10,001–18,000",3,2,Sensitive,Keeps skin hydrated|Controls excess oil|Gentle / non-irritating,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Very relevant,Probably would not,Somewhat poor value,About the same,Brightens skin tone|Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1002,Functional / Anti-acne,Mindanao,Female,18–24,"PHP 10,001–18,000",6,2,Combination,Keeps skin hydrated|Prevents breakouts|Gentle / non-irritating,True,Drugstore display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Not sure,Probably would not,Fairly good value,A little higher,Keeps skin hydrated,,,,,,,,,,,,,,,,,,,,,,,,,,
R1003,Functional / Anti-acne,Visayas,Female,25–35,"PHP 60,001–100,000",6,2,Oily,Controls excess oil|Prevents breakouts|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1004,Functional / Anti-acne,Luzon,Female,36–45,"PHP 60,001–100,000",2,2,Normal,Keeps skin hydrated|Controls excess oil|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1005,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 18,001–25,000",4,2,Combination,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1006,Functional / Anti-acne,Mindanao,Female,18–24,"PHP 25,001–40,000",3,2,Combination,Keeps skin hydrated|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1007,Functional / Anti-acne,Luzon,Female,36–45,"PHP 10,001–18,000",4,2,Oily,Brightens / evens skin tone|Keeps skin hydrated|Controls excess oil,True,Drugstore display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Very relevant,Probably would buy,Somewhat poor value,A little lower,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1008,Functional / Anti-acne,Luzon,Female,18–24,"PHP 40,001–60,000",2,2,Oily,Controls excess oil|Gentle / non-irritating|Deep cleansing,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat relevant,Probably would buy,Average value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1009,Functional / Anti-acne,Luzon,Female,25–35,"PHP 60,001–100,000",2,3,Dry,Brightens / evens skin tone|Controls excess oil|Deep cleansing,True,YouTube,True,Bought within past 3 months,True,,Liked price for perceived benefit,,,,,,5,5,5,5,5,4,4,5,5,4,3,5,3,5,5,2,2,Better than BUMO,Probably would not,Definitely would recommend,Keeps skin hydrated,Improve moisturising effect — skin feels dry after use|Add more active skin ingredients,Convenience store,150ml,Less than 1 week,1 month ago
R1010,Functional / Anti-acne,Mindanao,Female,25–35,"PHP 40,001–60,000",3,2,Combination,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Beauty influencer,True,Bought within past 3 months,False,,Liked / related to TV ad|Recommended by friends / family,,,,,,5,5,5,4,5,3,5,5,5,5,5,5,5,3,5,3,5,Better than BUMO,Probably would not,Probably would recommend,Keeps skin hydrated|Controls oil / prevents breakouts,Improve moisturising effect — skin feels dry after use|Strengthen brightening result — visible change takes too long,Supermarket,50ml travel,1 month ago,1 month ago
R1011,Functional / Anti-acne,Visayas,Male,25–35,"PHP 60,001–100,000",6,1,Combination,Controls excess oil|Prevents breakouts|Deep cleansing,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1012,Functional / Anti-acne,Visayas,Female,18–24,"PHP 60,001–100,000",5,1,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat relevant,Probably would buy,Somewhat poor value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1013,Functional / Anti-acne,Visayas,Female,36–45,"PHP 18,001–25,000",6,3,Oily,Keeps skin hydrated|Prevents breakouts|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1014,Functional / Anti-acne,Mindanao,Male,25–35,"PHP 18,001–25,000",5,1,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Drugstore display,True,Bought within past 3 months,True,,Liked / related to TV ad|Liked price for perceived benefit,,,,,,5,5,4,5,5,5,5,5,4,3,5,5,2,4,4,5,4,Better than BUMO,Probably would buy again,Definitely would recommend,Controls oil / prevents breakouts|Deep cleansing,Improve moisturising effect — skin feels dry after use|Offer more promotions / discounts,Supermarket,50ml travel,1 month ago,More than 3 months
R1015,Functional / Anti-acne,Mindanao,Male,25–35,"PHP 40,001–60,000",4,2,Normal,Controls excess oil|Prevents breakouts|Gentle / non-irritating,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1016,Functional / Anti-acne,Visayas,Female,25–35,"PHP 25,001–40,000",4,1,Oily,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,TikTok,False,"Seen/heard, considering but haven't bought",False,Did not like / relate to TV ad,,Somewhat relevant,Might or might not,Average value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1017,Functional / Anti-acne,Visayas,Male,18–24,"PHP 18,001–25,000",5,2,Combination,Prevents breakouts|Gentle / non-irritating|Deep cleansing,True,TV ad,True,Regular buyer,False,,Liked price for perceived benefit|Liked the product texture or scent|Product addresses my skin needs,,,,,,5,5,5,5,5,5,4,5,5,2,3,5,5,5,4,5,5,Better than BUMO,Might or might not,Definitely would recommend,Brightens skin tone|Keeps skin hydrated,Improve moisturising effect — skin feels dry after use|Strengthen brightening result — visible change takes too long,Convenience store,100ml,Less than 1 week,1 month ago
R1018,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 60,001–100,000",5,1,Combination,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,Family / Friends,False,"Seen/heard, considering but haven't bought",False,Difficult to find in store,,Somewhat irrelevant,Probably would buy,Average value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1019,Functional / Anti-acne,Luzon,Female,25–35,"PHP 60,001–100,000",6,1,Oily,Reduces dark spots & hyperpigmentation|Gentle / non-irritating|Smells pleasant,True,Drugstore display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash|Did not like / relate to TV ad|Did not like / relate to TikTok content,,Not sure,Probably would not,Fairly good value,A lot higher,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1020,Functional / Anti-acne,Luzon,Male,25–35,"PHP 40,001–60,000",5,3,Sensitive,Keeps skin hydrated|Prevents breakouts,True,YouTube,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat relevant,Might or might not,Fairly good value,About the same,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1021,Functional / Anti-acne,Mindanao,Male,36–45,"PHP 18,001–25,000",3,2,Oily,Prevents breakouts|Gentle / non-irritating|Deep cleansing,True,TV ad,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Not sure,Probably would not,Somewhat poor value,A lot higher,Brightens skin tone,,,,,,,,,,,,,,,,,,,,,,,,,,
R1022,Functional / Anti-acne,Luzon,Female,36–45,"PHP 18,001–25,000",4,3,Oily,Keeps skin hydrated|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1023,Functional / Anti-acne,Visayas,Female,46–59,"PHP 10,001–18,000",5,2,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1024,Functional / Anti-acne,Visayas,Female,25–35,"PHP 100,001+",5,1,Dry,Controls excess oil|Gentle / non-irritating|Deep cleansing,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1025,Functional / Anti-acne,Mindanao,Male,36–45,"PHP 60,001–100,000",3,2,Dry,Controls excess oil|Prevents breakouts|Deep cleansing,True,Supermarket display,False,"Seen/heard, considering but haven't bought",False,Already satisfied with current facial wash,,Somewhat irrelevant,Probably would not,Fairly good value,A little lower,Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1026,Functional / Anti-acne,Luzon,Male,36–45,"PHP 40,001–60,000",5,3,Normal,Keeps skin hydrated|Controls excess oil|Prevents breakouts,False,,False,Not aware,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1027,Functional / Anti-acne,Luzon,Female,18–24,"PHP 60,001–100,000",6,2,Combination,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,TV ad,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Somewhat irrelevant,Might or might not,Somewhat poor value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
R1028,Functional / Anti-acne,Luzon,Male,36–45,"PHP 10,001–18,000",4,1,Oily,Controls excess oil|Prevents breakouts|Gentle / non-irritating,True,TV ad,False,"Seen/heard, don't want to buy",False,Price too high for perceived benefit,,Very relevant,Probably would buy,Very good value,About the same,Brightens skin tone|Keeps skin hydrated,,,,,,,,,,,,,,,,,,,,,,,,,,
R1029,Functional / Anti-acne,Luzon,Male,25–35,"PHP 40,001–60,000",5,2,Dry,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Radio,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash,,Not sure,Probably would not,Fairly good value,About the same,Controls oil / prevents breakouts,,,,,,,,,,,,,,,,,,,,,,,,,,
R1030,Functional / Anti-acne,Mindanao,Female,36–45,"PHP 18,001–25,000",3,2,Normal,Keeps skin hydrated|Controls excess oil|Prevents breakouts,True,Supermarket display,False,"Seen/heard, don't want to buy",False,Already satisfied with current facial wash|Not convinced the brightening claim is real,,Somewhat relevant,Definitely would not,Very good value,A little higher,Controls oil / prevents breakouts|Deep cleansing,,,,,,,,,,,,,,,,,,,,,,,,,,
